mode;seed;dataset;optimizer;index
macro;10;cora;RL;63969
macro;10;cora;RL;22000
macro;10;cora;RL;18931
macro;10;cora;RL;73444
macro;10;cora;RL;59826
macro;10;cora;RL;66345
macro;10;cora;RL;19932
macro;10;cora;RL;7976
macro;10;cora;RL;17951
macro;10;cora;RL;78605
macro;10;cora;RL;66950
macro;10;cora;RL;89672
macro;10;cora;RL;79535
macro;10;cora;RL;66918
macro;10;cora;RL;41863
macro;10;cora;RL;84326
macro;10;cora;RL;48518
macro;10;cora;RL;38890
macro;10;cora;RL;9167
macro;10;cora;RL;26186
macro;10;cora;RL;27139
macro;10;cora;RL;81807
macro;10;cora;RL;78744
macro;10;cora;RL;880
macro;10;cora;RL;66261
macro;10;cora;RL;51975
macro;10;cora;RL;65830
macro;10;cora;RL;78477
macro;10;cora;RL;39370
macro;10;cora;RL;43168
macro;10;cora;RL;46416
macro;10;cora;RL;19560
macro;10;cora;RL;89051
macro;10;cora;RL;87093
macro;10;cora;RL;1984
macro;10;cora;RL;31984
macro;10;cora;RL;45487
macro;10;cora;RL;73856
macro;10;cora;RL;22593
macro;10;cora;RL;42098
macro;10;cora;RL;87050
macro;10;cora;RL;30608
macro;10;cora;RL;69269
macro;10;cora;RL;56072
macro;10;cora;RL;55384
macro;10;cora;RL;37623
macro;10;cora;RL;14299
macro;10;cora;RL;14299
macro;10;cora;RL;27951
macro;10;cora;RL;70081
macro;10;cora;RL;46386
macro;10;cora;RL;38552
macro;10;cora;RL;64280
macro;10;cora;RL;52248
macro;10;cora;RL;89289
macro;10;cora;RL;28694
macro;10;cora;RL;12944
macro;10;cora;RL;77980
macro;10;cora;RL;52041
macro;10;cora;RL;22948
macro;10;cora;RL;65571
macro;10;cora;RL;43501
macro;10;cora;RL;57422
macro;10;cora;RL;18076
macro;10;cora;RL;43122
macro;10;cora;RL;32401
macro;10;cora;RL;42833
macro;10;cora;RL;18834
macro;10;cora;RL;84416
macro;10;cora;RL;26857
macro;10;cora;RL;60758
macro;10;cora;RL;33587
macro;10;cora;RL;20287
macro;10;cora;RL;31244
macro;10;cora;RL;32385
macro;10;cora;RL;66057
macro;10;cora;RL;4153
macro;10;cora;RL;56881
macro;10;cora;RL;69959
macro;10;cora;RL;78012
macro;10;cora;RL;983
macro;10;cora;RL;65240
macro;10;cora;RL;21604
macro;10;cora;RL;67968
macro;10;cora;RL;44689
macro;10;cora;RL;11160
macro;10;cora;RL;64268
macro;10;cora;RL;33620
macro;10;cora;RL;80646
macro;10;cora;RL;32662
macro;10;cora;RL;44955
macro;10;cora;RL;62230
macro;10;cora;RL;45303
macro;10;cora;RL;23917
macro;10;cora;RL;35914
macro;10;cora;RL;60290
macro;10;cora;RL;78308
macro;10;cora;RL;65613
macro;10;cora;RL;56876
macro;10;cora;RL;79237
macro;10;cora;RL;29665
macro;10;cora;RL;48349
macro;10;cora;RL;56794
macro;10;cora;RL;75041
macro;10;cora;RL;81558
macro;10;cora;RL;81821
macro;10;cora;RL;77987
macro;10;cora;RL;69381
macro;10;cora;RL;34510
macro;10;cora;RL;8607
macro;10;cora;RL;18983
macro;10;cora;RL;23038
macro;10;cora;RL;47231
macro;10;cora;RL;1673
macro;10;cora;RL;45529
macro;10;cora;RL;1420
macro;10;cora;RL;36430
macro;10;cora;RL;77496
macro;10;cora;RL;40880
macro;10;cora;RL;54838
macro;10;cora;RL;47119
macro;10;cora;RL;17669
macro;10;cora;RL;56597
macro;10;cora;RL;22271
macro;10;cora;RL;36576
macro;10;cora;RL;20160
macro;10;cora;RL;3116
macro;10;cora;RL;21660
macro;10;cora;RL;42949
macro;10;cora;RL;51091
macro;10;cora;RL;44411
macro;10;cora;RL;3963
macro;10;cora;RL;56643
macro;10;cora;RL;15971
macro;10;cora;RL;81440
macro;10;cora;RL;77176
macro;10;cora;RL;42714
macro;10;cora;RL;48777
macro;10;cora;RL;31947
macro;10;cora;RL;87811
macro;10;cora;RL;49706
macro;10;cora;RL;19830
macro;10;cora;RL;59483
macro;10;cora;RL;60193
macro;10;cora;RL;60568
macro;10;cora;RL;59901
macro;10;cora;RL;84492
macro;10;cora;RL;25420
macro;10;cora;RL;74880
macro;10;cora;RL;9968
macro;10;cora;RL;241
macro;10;cora;RL;49414
macro;10;cora;RL;28519
macro;10;cora;RL;23136
macro;10;cora;RL;63388
macro;10;cora;RL;50660
macro;10;cora;RL;3795
macro;10;cora;RL;55110
macro;10;cora;RL;81829
macro;10;cora;RL;53162
macro;10;cora;RL;30381
macro;10;cora;RL;43723
macro;10;cora;RL;57795
macro;10;cora;RL;72408
macro;10;cora;RL;18719
macro;10;cora;RL;53168
macro;10;cora;RL;60865
macro;10;cora;RL;52895
macro;10;cora;RL;38517
macro;10;cora;RL;54807
macro;10;cora;RL;31237
macro;10;cora;RL;72651
macro;10;cora;RL;43589
macro;10;cora;RL;89125
macro;10;cora;RL;48257
macro;10;cora;RL;35410
macro;10;cora;RL;29923
macro;10;cora;RL;18862
macro;10;cora;RL;34053
macro;10;cora;RL;42173
macro;10;cora;RL;78799
macro;10;cora;RL;26678
macro;10;cora;RL;35150
macro;10;cora;RL;88811
macro;10;cora;RL;81737
macro;10;cora;RL;54671
macro;10;cora;RL;83697
macro;10;cora;RL;66459
macro;10;cora;RL;78901
macro;10;cora;RL;67637
macro;10;cora;RL;38202
macro;10;cora;RL;84154
macro;10;cora;RL;84154
macro;10;cora;RL;87173
macro;10;cora;RL;42440
macro;10;cora;RL;6576
macro;10;cora;RL;88937
macro;10;cora;RL;54996
macro;10;cora;RL;37535
macro;10;cora;RL;19128
macro;10;cora;RL;43978
macro;10;cora;RL;76958
macro;10;cora;RL;50435
macro;10;cora;RL;67588
macro;10;cora;RL;62154
macro;10;cora;RL;65656
macro;10;cora;RL;12021
macro;10;cora;RL;27019
macro;10;cora;RL;66651
macro;10;cora;RL;38424
macro;10;cora;RL;5236
macro;10;cora;RL;73242
macro;10;cora;RL;67681
macro;10;cora;RL;75937
macro;10;cora;RL;81336
macro;10;cora;RL;22887
macro;10;cora;RL;8485
macro;10;cora;RL;54352
macro;10;cora;RL;87839
macro;10;cora;RL;71827
macro;10;cora;RL;38948
macro;10;cora;RL;38707
macro;10;cora;RL;74456
macro;10;cora;RL;1178
macro;10;cora;RL;21901
macro;10;cora;RL;67825
macro;10;cora;RL;45582
macro;10;cora;RL;86336
macro;10;cora;RL;7078
macro;10;cora;RL;820
macro;10;cora;RL;63095
macro;10;cora;RL;16054
macro;10;cora;RL;54500
macro;10;cora;RL;71812
macro;10;cora;RL;57118
macro;10;cora;RL;82197
macro;10;cora;RL;41006
macro;10;cora;RL;31929
macro;10;cora;RL;21509
macro;10;cora;RL;67950
macro;10;cora;RL;68772
macro;10;cora;RL;38928
macro;10;cora;RL;48319
macro;10;cora;RL;71989
macro;10;cora;RL;75744
macro;10;cora;RL;32709
macro;10;cora;RL;86591
macro;10;cora;RL;21222
macro;10;cora;RL;30891
macro;10;cora;RL;84352
macro;10;cora;RL;34199
macro;10;cora;RL;65736
macro;10;cora;RL;77387
macro;10;cora;RL;44567
macro;10;cora;RL;79760
macro;10;cora;RL;38453
macro;10;cora;RL;9756
macro;10;cora;RL;67629
macro;10;cora;RL;62900
macro;10;cora;RL;28739
macro;10;cora;RL;68073
macro;10;cora;RL;49988
macro;10;cora;RL;81830
macro;10;cora;RL;85982
macro;10;cora;RL;86577
macro;10;cora;RL;40768
macro;10;cora;RL;2590
macro;10;cora;RL;33044
macro;10;cora;RL;19263
macro;10;cora;RL;47109
macro;10;cora;RL;51934
macro;10;cora;RL;70506
macro;10;cora;RL;84706
macro;10;cora;RL;42778
macro;10;cora;RL;1976
macro;10;cora;RL;84566
macro;10;cora;RL;66043
macro;10;cora;RL;18250
macro;10;cora;RL;48054
macro;10;cora;RL;80834
macro;10;cora;RL;86071
macro;10;cora;RL;33703
macro;10;cora;RL;16740
macro;10;cora;RL;52283
macro;10;cora;RL;79952
macro;10;cora;RL;64300
macro;10;cora;RL;24884
macro;10;cora;RL;43916
macro;10;cora;RL;9137
macro;10;cora;RL;42950
macro;10;cora;RL;64327
macro;10;cora;RL;65357
macro;10;cora;RL;45039
macro;10;cora;RL;19996
macro;10;cora;RL;29633
macro;10;cora;RL;29407
macro;10;cora;RL;15405
macro;10;cora;RL;63166
macro;10;cora;RL;88368
macro;10;cora;RL;66518
macro;10;cora;RL;31093
macro;10;cora;RL;1653
macro;10;cora;RL;84936
macro;10;cora;RL;80605
macro;10;cora;RL;4486
macro;10;cora;RL;76504
macro;10;cora;RL;21028
macro;10;cora;RL;55165
macro;10;cora;RL;63952
macro;10;cora;RL;1447
macro;10;cora;RL;41240
macro;10;cora;RL;25506
macro;10;cora;RL;61034
macro;10;cora;RL;83999
macro;10;cora;RL;15625
macro;10;cora;RL;57198
macro;10;cora;RL;89121
macro;10;cora;RL;48274
macro;10;cora;RL;10450
macro;10;cora;RL;2346
macro;10;cora;RL;44539
macro;10;cora;RL;18301
macro;10;cora;RL;20587
macro;10;cora;RL;44332
macro;10;cora;RL;78722
macro;10;cora;RL;20829
macro;10;cora;RL;712
macro;10;cora;RL;20321
macro;10;cora;RL;69197
macro;10;cora;RL;24442
macro;10;cora;RL;36252
macro;10;cora;RL;46448
macro;10;cora;RL;84331
macro;10;cora;RL;73368
macro;10;cora;RL;15868
macro;10;cora;RL;19243
macro;10;cora;RL;9421
macro;10;cora;RL;28254
macro;10;cora;RL;81490
macro;10;cora;RL;36397
macro;10;cora;RL;3395
macro;10;cora;RL;87770
macro;10;cora;RL;63726
macro;10;cora;RL;38631
macro;10;cora;RL;83601
macro;10;cora;RL;77620
macro;10;cora;RL;41681
macro;10;cora;RL;43256
macro;10;cora;RL;76158
macro;10;cora;RL;63250
macro;10;cora;RL;48459
macro;10;cora;RL;29625
macro;10;cora;RL;62282
macro;10;cora;RL;89433
macro;10;cora;RL;61106
macro;10;cora;RL;19609
macro;10;cora;RL;42920
macro;10;cora;RL;30440
macro;10;cora;RL;17643
macro;10;cora;RL;3907
macro;10;cora;RL;81597
macro;10;cora;RL;82354
macro;10;cora;RL;64139
macro;10;cora;RL;20964
macro;10;cora;RL;19738
macro;10;cora;RL;84204
macro;10;cora;RL;63417
macro;10;cora;RL;51210
macro;10;cora;RL;53854
macro;10;cora;RL;52010
macro;10;cora;RL;66109
macro;10;cora;RL;32885
macro;10;cora;RL;61641
macro;10;cora;RL;74595
macro;10;cora;RL;83782
macro;10;cora;RL;38389
macro;10;cora;RL;48111
macro;10;cora;RL;74737
macro;10;cora;RL;89278
macro;10;cora;RL;87803
macro;10;cora;RL;21707
macro;10;cora;RL;20601
macro;10;cora;RL;20303
macro;10;cora;RL;27659
macro;10;cora;RL;70844
macro;10;cora;RL;80423
macro;10;cora;RL;55341
macro;10;cora;RL;5642
macro;10;cora;RL;41134
macro;10;cora;RL;46437
macro;10;cora;RL;38411
macro;10;cora;RL;43403
macro;10;cora;RL;83358
macro;10;cora;RL;89400
macro;10;cora;RL;73879
macro;10;cora;RL;24447
macro;10;cora;RL;25736
macro;10;cora;RL;14616
macro;10;cora;RL;29452
macro;10;cora;RL;69458
macro;10;cora;RL;72624
macro;10;cora;RL;35466
macro;10;cora;RL;20419
macro;10;cora;RL;79095
macro;10;cora;RL;8752
macro;10;cora;RL;69527
macro;10;cora;RL;87548
macro;10;cora;RL;75520
macro;10;cora;RL;19322
macro;10;cora;RL;54848
macro;10;cora;RL;67057
macro;10;cora;RL;42103
macro;10;cora;RL;58897
macro;10;cora;RL;65499
macro;10;cora;RL;66944
macro;10;cora;RL;43121
macro;10;cora;RL;88400
macro;10;cora;RL;83860
macro;10;cora;RL;4123
macro;10;cora;RL;52995
macro;10;cora;RL;66901
macro;10;cora;RL;39478
macro;10;cora;RL;28620
macro;10;cora;RL;67907
macro;10;cora;RL;38434
macro;10;cora;RL;59349
macro;10;cora;RL;6485
macro;10;cora;RL;45668
macro;10;cora;RL;57930
macro;10;cora;RL;79418
macro;10;cora;RL;9791
macro;10;cora;RL;6752
macro;10;cora;RL;84196
macro;10;cora;RL;50879
macro;10;cora;RL;84722
macro;10;cora;RL;19937
macro;10;cora;RL;57081
macro;10;cora;RL;42630
macro;10;cora;RL;76592
macro;10;cora;RL;2076
macro;10;cora;RL;44771
macro;10;cora;RL;65617
macro;10;cora;RL;15912
macro;10;cora;RL;36367
macro;10;cora;RL;68666
macro;10;cora;RL;27256
macro;10;cora;RL;56167
macro;10;cora;RL;47690
macro;10;cora;RL;66846
macro;10;cora;RL;81232
macro;10;cora;RL;39605
macro;10;cora;RL;63183
macro;10;cora;RL;21065
macro;10;cora;RL;32204
macro;10;cora;RL;82358
macro;10;cora;RL;56937
macro;10;cora;RL;41293
macro;10;cora;RL;35756
macro;10;cora;RL;55030
macro;10;cora;RL;41783
macro;10;cora;RL;76120
macro;10;cora;RL;67837
macro;10;cora;RL;5178
macro;10;cora;RL;50175
macro;10;cora;RL;29941
macro;10;cora;RL;63629
macro;10;cora;RL;27550
macro;10;cora;RL;45307
macro;10;cora;RL;18294
macro;10;cora;RL;40937
macro;10;cora;RL;23422
macro;10;cora;RL;48582
macro;10;cora;RL;54097
macro;10;cora;RL;19361
macro;10;cora;RL;38291
macro;10;cora;RL;34420
macro;10;cora;RL;67762
macro;10;cora;RL;42399
macro;10;cora;RL;76956
macro;10;cora;RL;89647
macro;10;cora;RL;89647
macro;10;cora;RL;82700
macro;10;cora;RL;44707
macro;10;cora;RL;37677
macro;10;cora;RL;89693
macro;10;cora;RL;54516
macro;10;cora;RL;54599
macro;10;cora;RL;49065
macro;10;cora;RL;20542
macro;10;cora;RL;69010
macro;10;cora;RL;4755
macro;10;cora;RL;68505
macro;10;cora;RL;69087
macro;10;cora;RL;68147
macro;10;cora;RL;33418
macro;10;cora;RL;78169
macro;10;cora;RL;36035
macro;10;cora;RL;47964
macro;10;cora;RL;77225
macro;10;cora;RL;3278
macro;10;cora;RL;5643
macro;10;cora;RL;21975
macro;10;cora;RL;78446
macro;10;cora;RL;41902
macro;10;cora;RL;20570
macro;10;cora;RL;45206
macro;10;cora;RL;9490
macro;10;cora;RL;88749
macro;10;cora;RL;71569
macro;10;cora;RL;42282
macro;10;cora;RL;33915
macro;10;cora;RL;66986
macro;10;cora;RL;77157
macro;10;cora;RL;51829
macro;10;cora;RL;35086
macro;10;cora;RL;2519
macro;10;cora;RL;79129
macro;10;cora;RL;27643
macro;10;cora;RL;44884
macro;10;cora;RL;24573
macro;10;cora;RL;59513
macro;10;cora;RL;15900
macro;10;cora;RL;21339
macro;10;cora;RL;18647
macro;10;cora;RL;52298
macro;10;cora;RL;20594
macro;10;cora;RL;20472
macro;10;cora;RL;13586
macro;10;cora;RL;61158
macro;10;cora;RL;69469
macro;10;cora;RL;32750
macro;10;cora;RL;71933
macro;10;cora;RL;87632
macro;10;cora;RL;7914
macro;10;cora;RL;78298
macro;10;cora;RL;65542
macro;10;cora;RL;69338
macro;10;cora;RL;28955
macro;10;cora;RL;51263
macro;10;cora;RL;57169
macro;10;cora;RL;69456
macro;10;cora;RL;81419
macro;10;cora;RL;73641
macro;10;cora;RL;42491
macro;10;cora;RL;29317
macro;10;cora;RL;35565
macro;10;cora;RL;80475
macro;10;cora;RL;73526
macro;10;cora;RL;37253
macro;10;cora;RL;6054
macro;10;cora;RL;3514
macro;10;cora;RL;50944
macro;10;cora;RL;1682
macro;10;cora;RL;83698
macro;10;cora;RL;57052
macro;10;cora;RL;54327
macro;10;cora;RL;44100
macro;10;cora;RL;28697
macro;10;cora;RL;55638
macro;10;cora;RL;44439
macro;10;cora;RL;25338
macro;10;cora;RL;70184
macro;10;cora;RL;81090
macro;10;cora;RL;31701
macro;10;cora;RL;6337
macro;10;cora;RL;43053
macro;10;cora;RL;40083
macro;10;cora;RL;77326
macro;10;cora;RL;6156
macro;10;cora;RL;50780
macro;10;cora;RL;68263
macro;10;cora;RL;17879
macro;10;cora;RL;37111
macro;10;cora;RL;41418
macro;10;cora;RL;22461
macro;10;cora;RL;26603
macro;10;cora;RL;50192
macro;10;cora;RL;36311
macro;10;cora;RL;64561
macro;10;cora;RL;44386
macro;10;cora;RL;57366
macro;10;cora;RL;17812
macro;10;cora;RL;30286
macro;10;cora;RL;70579
macro;10;cora;RL;39279
macro;10;cora;RL;39279
macro;10;cora;RL;35304
macro;10;cora;RL;18684
macro;10;cora;RL;51533
macro;10;cora;RL;51038
macro;10;cora;RL;36729
macro;10;cora;RL;3477
macro;10;cora;RL;24400
macro;10;cora;RL;6055
macro;10;cora;RL;69593
macro;10;cora;RL;20906
macro;10;cora;RL;79161
macro;10;cora;RL;59222
macro;10;cora;RL;19966
macro;10;cora;RL;78249
macro;10;cora;RL;62165
macro;10;cora;RL;64793
macro;10;cora;RL;55862
macro;10;cora;RL;42507
macro;10;cora;RL;76424
macro;10;cora;RL;47139
macro;10;cora;RL;76725
macro;10;cora;RL;60589
macro;10;cora;RL;23604
macro;10;cora;RL;44420
macro;10;cora;RL;66503
macro;10;cora;RL;28074
macro;10;cora;RL;8976
macro;10;cora;RL;31878
macro;10;cora;RL;34427
macro;10;cora;RL;71532
macro;10;cora;RL;80595
macro;10;cora;RL;85230
macro;10;cora;RL;42556
macro;10;cora;RL;29948
macro;10;cora;RL;75747
macro;10;cora;RL;52217
macro;10;cora;RL;36333
macro;10;cora;RL;37616
macro;10;cora;RL;24183
macro;10;cora;RL;59576
macro;10;cora;RL;81269
macro;10;cora;RL;58922
macro;10;cora;RL;652
macro;10;cora;RL;46562
macro;10;cora;RL;89619
macro;10;cora;RL;5923
macro;10;cora;RL;5646
macro;10;cora;RL;14643
macro;10;cora;RL;68637
macro;10;cora;RL;86329
macro;10;cora;RL;4606
macro;10;cora;RL;84292
macro;10;cora;RL;29945
macro;10;cora;RL;59172
macro;10;cora;RL;59673
macro;10;cora;RL;471
macro;10;cora;RL;15010
macro;10;cora;RL;83753
macro;10;cora;RL;32484
macro;10;cora;RL;6041
macro;10;cora;RL;1753
macro;10;cora;RL;14998
macro;10;cora;RL;44888
macro;10;cora;RL;32858
macro;10;cora;RL;67110
macro;10;cora;RL;88805
macro;10;cora;RL;57438
macro;10;cora;RL;42338
macro;10;cora;RL;4419
macro;10;cora;RL;44268
macro;10;cora;RL;18870
macro;10;cora;RL;16337
macro;10;cora;RL;6317
macro;10;cora;RL;78290
macro;10;cora;RL;66450
macro;10;cora;RL;55853
macro;10;cora;RL;2851
macro;10;cora;RL;46211
macro;10;cora;RL;81271
macro;10;cora;RL;29486
macro;10;cora;RL;40325
macro;10;cora;RL;66090
macro;10;cora;RL;5138
macro;10;cora;RL;70049
macro;10;cora;RL;28150
macro;10;cora;RL;63731
macro;10;cora;RL;84091
macro;10;cora;RL;22256
macro;10;cora;RL;67169
macro;10;cora;RL;9564
macro;10;cora;RL;51796
macro;10;cora;RL;83142
macro;10;cora;RL;56685
macro;10;cora;RL;36214
macro;10;cora;RL;57110
macro;10;cora;RL;48915
macro;10;cora;RL;12337
macro;10;cora;RL;83813
macro;10;cora;RL;52349
macro;10;cora;RL;69464
macro;10;cora;RL;54273
macro;10;cora;RL;64668
macro;10;cora;RL;75951
macro;10;cora;RL;10778
macro;10;cora;RL;87674
macro;10;cora;RL;64438
macro;10;cora;RL;47977
macro;10;cora;RL;81159
macro;10;cora;RL;75412
macro;10;cora;RL;1892
macro;10;cora;RL;67231
macro;10;cora;RL;72321
macro;10;cora;RL;57673
macro;10;cora;RL;80941
macro;10;cora;RL;83844
macro;10;cora;RL;2825
macro;10;cora;RL;73685
macro;10;cora;RL;40935
macro;10;cora;RL;61504
macro;10;cora;RL;8516
macro;10;cora;RL;33679
macro;10;cora;RL;26895
macro;10;cora;RL;88266
macro;10;cora;RL;66488
macro;10;cora;RL;3882
macro;10;cora;RL;52255
macro;10;cora;RL;88088
macro;10;cora;RL;30507
macro;10;cora;RL;49620
macro;10;cora;RL;79989
macro;10;cora;RL;56252
macro;10;cora;RL;53029
macro;10;cora;RL;54898
macro;10;cora;RL;20754
macro;10;cora;RL;73193
macro;10;cora;RL;16223
macro;10;cora;RL;62057
macro;10;cora;RL;10097
macro;10;cora;RL;16187
macro;10;cora;RL;83505
macro;10;cora;RL;6579
macro;10;cora;RL;36045
macro;10;cora;RL;67935
macro;10;cora;RL;45347
macro;10;cora;RL;80534
macro;10;cora;RL;12474
macro;10;cora;RL;33098
macro;10;cora;RL;42955
macro;10;cora;RL;83091
macro;10;cora;RL;56835
macro;10;cora;RL;68758
macro;10;cora;RL;28290
macro;10;cora;RL;83073
macro;10;cora;RL;12411
macro;10;cora;RL;57810
macro;10;cora;RL;70492
macro;10;cora;RL;86723
macro;10;cora;RL;7847
macro;10;cora;RL;36448
macro;10;cora;RL;22978
macro;10;cora;RL;19760
macro;10;cora;RL;61153
macro;10;cora;RL;11403
macro;10;cora;RL;34912
macro;10;cora;RL;58757
macro;10;cora;RL;53129
macro;10;cora;RL;8778
macro;10;cora;RL;44481
macro;10;cora;RL;69494
macro;10;cora;RL;18391
macro;10;cora;RL;49009
macro;10;cora;RL;7485
macro;10;cora;RL;71624
macro;10;cora;RL;8090
macro;10;cora;RL;56242
macro;10;cora;RL;11497
macro;10;cora;RL;27620
macro;10;cora;RL;36916
macro;10;cora;RL;88971
macro;10;cora;RL;42732
macro;10;cora;RL;46017
macro;10;cora;RL;67000
macro;10;cora;RL;70247
macro;10;cora;RL;86876
macro;10;cora;RL;26096
macro;10;cora;RL;56721
macro;10;cora;RL;80420
macro;10;cora;RL;27249
macro;10;cora;RL;29127
macro;10;cora;RL;22396
macro;10;cora;RL;58078
macro;10;cora;RL;62762
macro;10;cora;RL;68973
macro;10;cora;RL;70848
macro;10;cora;RL;65976
macro;10;cora;RL;16264
macro;10;cora;RL;27435
macro;10;cora;RL;84003
macro;10;cora;RL;75876
macro;10;cora;RL;54133
macro;10;cora;RL;36957
macro;10;cora;RL;1540
macro;10;cora;RL;44117
macro;10;cora;RL;89018
macro;10;cora;RL;35883
macro;10;cora;RL;74371
macro;10;cora;RL;79154
macro;10;cora;RL;72192
macro;10;cora;RL;40660
macro;10;cora;RL;66683
macro;10;cora;RL;52729
macro;10;cora;RL;36832
macro;10;cora;RL;6989
macro;10;cora;RL;48288
macro;10;cora;RL;34544
macro;10;cora;RL;33496
macro;10;cora;RL;12407
macro;10;cora;RL;21816
macro;10;cora;RL;68366
macro;10;cora;RL;47740
macro;10;cora;RL;69662
macro;10;cora;RL;64375
macro;10;cora;RL;41537
macro;10;cora;RL;34739
macro;10;cora;RL;36086
macro;10;cora;RL;66254
macro;10;cora;RL;35615
macro;10;cora;RL;37170
macro;10;cora;RL;35302
macro;10;cora;RL;68387
macro;10;cora;RL;70728
macro;10;cora;RL;46813
macro;10;cora;RL;6130
macro;10;cora;RL;10618
macro;10;cora;RL;9988
macro;10;cora;RL;7928
macro;10;cora;RL;77054
macro;10;cora;RL;87416
macro;10;cora;RL;33214
macro;10;cora;RL;13771
macro;10;cora;RL;57191
macro;10;cora;RL;922
macro;10;cora;RL;16300
macro;10;cora;RL;57108
macro;10;cora;RL;62148
macro;10;cora;RL;54645
macro;10;cora;RL;17751
macro;10;cora;RL;66180
macro;10;cora;RL;8254
macro;10;cora;RL;59959
macro;10;cora;RL;71905
macro;10;cora;RL;67787
macro;10;cora;RL;46205
macro;10;cora;RL;86854
macro;10;cora;RL;53098
macro;10;cora;RL;1223
macro;10;cora;RL;2375
macro;10;cora;RL;22462
macro;10;cora;RL;22277
macro;10;cora;RL;40633
macro;10;cora;RL;64989
macro;10;cora;RL;22411
macro;10;cora;RL;51951
macro;10;cora;RL;67818
macro;10;cora;RL;49602
macro;10;cora;RL;32397
macro;10;cora;RL;30782
macro;10;cora;RL;84764
macro;10;cora;RL;128
macro;10;cora;RL;61476
macro;10;cora;RL;84461
macro;10;cora;RL;64612
macro;10;cora;RL;1873
macro;10;cora;RL;28859
macro;10;cora;RL;83173
macro;10;cora;RL;42639
macro;10;cora;RL;84625
macro;10;cora;RL;43370
macro;10;cora;RL;7949
macro;10;cora;RL;8700
macro;10;cora;RL;38823
macro;10;cora;RL;40128
macro;10;cora;RL;23125
macro;10;cora;RL;82726
macro;10;cora;RL;12463
macro;10;cora;RL;12463
macro;10;cora;RL;63198
macro;10;cora;RL;69990
macro;10;cora;RL;86653
macro;10;cora;RL;51446
macro;10;cora;RL;82441
